ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
1,أمكن,أمْكَنَ,مكن,ءمكن,0,0,0,0,0,مكن,يمكن,امكن,أمْكَنَ,يمكن,امكن
2,استحال,اِسْتَحَالَ,حيل,استحال,0,0,0,0,0,حال,يحال,احال,اِسْتَحَالَ,يحال,احال
3,زها,زَهَا,زهو,زها,1,0,0,0,1,زها,يزها,ازها,زَهَا,يزها,ازها
4,بئس,بِئْسَ,بأس,بءس,1,0,0,0,0,بئس,يبئس,ابئس,بِئْسَ,يبئس,ابئس
5,أغمى,أَغْمَى,غمي,ءغمى,0,0,0,0,1,غمى,يغمى,اغمى,أَغْمَى,يغمى,اغمى
6,سقط,سَقَطَ,سقط,سقط,1,0,0,0,1,سقط,يسقط,اسقط,سَقَطَ,يسقط,اسقط
7,نعم,نِعْمَ,نعم,نعم,1,0,0,0,0,نعم,ينعم,انعم,نِعْمَ,ينعم,انعم
8,وهب,وَهَبَ,وهب،هيب,وهب,1,0,0,0,0,وهب,يوهب,اوهب,وَهَبَ,يوهب,اوهب
9,انبغى,اِنْبَغَى,بغي,انبغى,0,0,0,0,0,بغى,يبغى,ابغى,اِنْبَغَى,يبغى,ابغى
10,برح,بَرِحَ,برح,برح,1,1,1,0,0,برح,يبرح,ابرح,بَرِحَ,يبرح,ابرح
11,انفك,اِنْفَكَّ,فكك,انفك,0,1,1,0,0,نفك,ينفك,انفك,اِنْفَكَّ,ينفك,انفك
12,تعالى,تَعَالَى,علو,تعالى,0,0,0,1,0,الى,يالى,االى,تَعَالَى,يالى,االى
13,فتئ,فَتِئَ,فتأ,فتء,1,1,1,0,0,فتئ,يفتئ,افتئ,فَتِئَ,يفتئ,افتئ
14,ودع,وَدَعَ,ودع,ودع,1,0,1,1,0,ودع,يودع,اودع,وَدَعَ,يودع,اودع
15,وذر,وَذَرَ,ودع,وذر,1,0,1,1,0,وذر,يوذر,اوذر,وَذَرَ,يوذر,اوذر
16,أوشك,أَوْشَكَ,وشك,ءوشك,0,1,1,0,0,وشك,يوشك,اوشك,أَوْشَكَ,يوشك,اوشك
17,رام,رَامَ,روم,رام,1,1,1,0,0,رام,يرام,ارام,رَامَ,يرام,ارام
18,زال,زَالَ,زيل,زال,1,1,1,0,0,زال,يزال,ازال,زَالَ,يزال,ازال
19,كاد,كَادَ,كود,كاد,1,1,1,0,0,كاد,يكاد,اكاد,كَادَ,يكاد,اكاد
20,ليس,لَيْسَ,ليس,ليس,1,1,0,0,0,ليس,يليس,اليس,لَيْسَ,يليس,اليس
21,عيا,عَيَّا,عيي,عيا,0,1,1,1,0,عيا,يعيا,اعيا,عَيَّا,يعيا,اعيا
22,زيا,زَيَّا,زيي,زيا,0,0,0,0,0,زيا,يزيا,ازيا,زَيَّا,يزيا,ازيا
23,حيا,حَيَّا,حيي,حيا,0,0,0,0,0,حيا,يحيا,احيا,حَيَّا,يحيا,احيا
24,تحتم,تَحَتَّمَ,حتم,تحتم,0,0,0,0,0,حتم,يحتم,احتم,تَحَتَّمَ,يحتم,احتم
25,أحيا,أَحْيَا,حيي,ءحيا,0,0,0,0,0,حيا,يحيا,احيا,أَحْيَا,يحيا,احيا
26,أعيا,أَعْيَا,عيي,ءعيا,0,0,0,0,0,عيا,يعيا,اعيا,أَعْيَا,يعيا,اعيا
27,تحيا,تَحَيَّا,حيي,تحيا,0,1,1,1,0,حيا,يحيا,احيا,تَحَيَّا,يحيا,احيا
28,تزيا,تَزَيَّا,زيي,تزيا,0,1,1,1,0,زيا,يزيا,ازيا,تَزَيَّا,يزيا,ازيا
29,استعيا,اِسْتَعْيَا,عيي,استعيا,0,0,0,0,0,عيا,يعيا,اعيا,اِسْتَعْيَا,يعيا,اعيا
30,استحيا,اِسْتَحْيَا,حيي,استحيا,0,0,0,0,0,حيا,يحيا,احيا,اِسْتَحْيَا,يحيا,احيا
31,عسى,عَسَى,عسي,عسى,1,1,0,0,0,عسى,يعسى,اعسى,عَسَى,يعسى,اعسى
32,حيي,حَيِيَ,حيي,حيي,1,1,1,1,0,حيي,يحيي,احيي,حَيِيَ,يحيي,احيي
33,عيي,عَيِيَ,عيي,عيي,1,0,0,0,0,عيي,يعيي,اعيي,عَيِيَ,يعيي,اعيي
